ComCode,YearMonthDay,Hour,Value
SMP001,1/1/2030,1:00:00,88.22
SMP001,1/1/2030,2:00:00,88.22
SMP001,1/1/2030,3:00:00,86.74
SMP001,1/1/2030,4:00:00,82.43
SMP001,1/1/2030,5:00:00,82.43
SMP001,1/1/2030,6:00:00,82.43
SMP001,1/1/2030,7:00:00,82.43
SMP001,1/1/2030,8:00:00,87.61
SMP001,1/1/2030,9:00:00,52.64
SMP001,1/1/2030,10:00:00,43.74
SMP001,1/1/2030,11:00:00,38.68
SMP001,1/1/2030,12:00:00,38.68
SMP001,1/1/2030,13:00:00,38.26
SMP001,1/1/2030,14:00:00,38.26
SMP001,1/1/2030,15:00:00,38.26
SMP001,1/1/2030,16:00:00,43.45
SMP001,1/1/2030,17:00:00,51.95
SMP001,1/1/2030,18:00:00,84.61
SMP001,1/1/2030,19:00:00,84.61
SMP001,1/1/2030,20:00:00,85.49
SMP001,1/1/2030,21:00:00,85.49
SMP001,1/1/2030,22:00:00,86.51
SMP001,1/1/2030,23:00:00,86.52
SMP001,1/1/2030,0:00:00,86.64
SMP001,1/2/2030,1:00:00,88.25
SMP001,1/2/2030,2:00:00,88.17
SMP001,1/2/2030,3:00:00,76.42
SMP001,1/2/2030,4:00:00,68.62
SMP001,1/2/2030,5:00:00,76.25
SMP001,1/2/2030,6:00:00,78.59
SMP001,1/2/2030,7:00:00,78.59
SMP001,1/2/2030,8:00:00,77.52
SMP001,1/2/2030,9:00:00,73.59
SMP001,1/2/2030,10:00:00,65.28
SMP001,1/2/2030,11:00:00,70.37
SMP001,1/2/2030,12:00:00,62.88
SMP001,1/2/2030,13:00:00,51.9
SMP001,1/2/2030,14:00:00,51.9
SMP001,1/2/2030,15:00:00,52.41
SMP001,1/2/2030,16:00:00,52.41
SMP001,1/2/2030,17:00:00,81.9
SMP001,1/2/2030,18:00:00,83.18
SMP001,1/2/2030,19:00:00,84.23
SMP001,1/2/2030,20:00:00,84.23
SMP001,1/2/2030,21:00:00,84.23
SMP001,1/2/2030,22:00:00,86.52
SMP001,1/2/2030,23:00:00,86.52
SMP001,1/2/2030,0:00:00,86.52
SMP001,1/3/2030,1:00:00,88.52
SMP001,1/3/2030,2:00:00,88.11
SMP001,1/3/2030,3:00:00,88.04
SMP001,1/3/2030,4:00:00,59.19
SMP001,1/3/2030,5:00:00,74.98
SMP001,1/3/2030,6:00:00,82.82
SMP001,1/3/2030,7:00:00,82.82
SMP001,1/3/2030,8:00:00,82.82
